"label","abbpop","Year","date","sex","svl","tot","mass","headlength","headwidth","GreenResolved","reg","reglength","blackness","BlueResolved","relhl"
"BD07","BD",2014,2014-04-11,"F",67,168,6.7,13.8,6.7,2,1,52,0,0,0.205970149253731
"BD08","BD",2014,2014-04-11,"M",61,156,5.58,15.8,7.8,2,1,60,0.43,13.03,0.259016393442623
"BD09","BD",2014,2014-04-11,"F",51,136,4.95,12.7,5.9,2,1,64,0.05,0,0.249019607843137
"BD10","BD",2014,2014-04-11,"M",64,187,6.53,15.5,7.7,2,0,NA,0.4,13.95,0.2421875
"BD11","BD",2014,2014-04-11,"F",55,154,3.95,11.8,5.9,1,0,NA,0,1.08,0.214545454545455
"BD12","BD",2014,2014-04-11,"M",67,158,7.27,17.5,7.9,3,1,75,0.69,17.98,0.261194029850746
"BD13","BD",2014,2014-04-11,"M",59,163,2.97,12,5.9,1,0,NA,0.1,2.91,0.203389830508475
"BD15","BD",2014,2014-04-11,"M",63,200,7,15.6,8,2,0,NA,0.36,15.9,0.247619047619048
"BD16","BD",2014,2014-04-11,"F",60,174,5.03,12.7,6.2,3,0,NA,0.28,1.09,0.211666666666667
"BD17","BD",2014,2014-04-11,"M",61,170,5.48,15.2,8,1,1,75,0.49,11.54,0.249180327868852
"BD18","BD",2014,2014-04-11,"M",60,82,4.9,15,7.5,1,1,0,0.29,10.34,0.25
"BD19","BD",2014,2014-04-11,"M",52,151,3.55,12.9,6.5,1,0,NA,0.18,1.53,0.248076923076923
"BD20","BD",2014,2014-04-11,"F",58,163,5.69,12.8,6.5,1,0,NA,0,1.26,0.220689655172414
"BD21","BD",2014,2014-04-11,"F",60,161,5.23,12.3,6.5,1,1,63,0.1,2.52,0.205
"BD22","BD",2014,2014-04-11,"M",55,173,4.65,13.7,6.8,1,0,NA,0.05,1.21,0.249090909090909
"BD23","BD",2014,2014-04-11,"F",56,140,3.9,11.9,6.2,1,1,66,0.06,0,0.2125
"BD24","BD",2014,2014-04-11,"M",67,196,7.57,16.5,7.6,2,1,59,0.25,16.71,0.246268656716418
"BD25","BD",2014,2014-04-11,"F",63,150,5.23,12.7,6.2,1,1,68,0.08,1.29,0.201587301587302
"BD26","BD",2014,2014-04-11,"F",65,170,5.97,12.7,5.6,2,0,NA,0.04,0.98,0.195384615384615
"BD27","BD",2014,2014-04-11,"M",60,184,4.92,13.7,7.1,1,0,NA,0.37,4.44,0.228333333333333
"BD28","BD",2014,2014-04-11,"M",60,178,5.48,14.5,7,4,0,NA,0.23,10.47,0.241666666666667
"BD29","BD",2014,2014-04-11,"M",61,154,6.01,14.5,7.5,1,1,72,0.37,7.19,0.237704918032787
"BE01","BE",2016,2016-04-15,"F",53,145,3.77,11.2,5.7,1,0,NA,0.0746516257465163,0,0.211320754716981
"BE02","BE",2016,2016-04-15,"F",60,170,5.24,12.9,6.3,2,0,NA,0.0847865625334332,0,0.215
