ID,abbpop
PT23,PT
PT24,PT
PT25,PT
PT30,PT
PV01,PV
PV02,PV
PV03,PV
PV04,PV
PV05,PV
PV06,PV
PV07,PV
PV08,PV
PV09,PV
PV10,PV
PV11,PV
PV14,PV
PV16,PV
PX01,PX
PX02,PX
PX03,PX
PX04,PX
PX05,PX
PX06,PX
PX07,PX
PX08,PX
PX09,PX
PX10,PX
PX12,PX
PX13,PX
PX15,PX
PX16,PX
QM01,QM
QM02,QM
QM03,QM
QM04,QM
QM05,QM
QM06,QM
QM07,QM
QM08,QM
QM09,QM
QM10,QM
QM11,QM
RA03,RA
RA04,RA
RA07,RA
RA13,RA
RA16,RA
RA21,RA
RA28,RA
RA31,RA
RA33,RA
RA34,RA
RA35,RA
RA38,RA
RA41,RA
RA42,RA
RF01,RF
RF08,RF
RF10,RF
RF11,RF
RF12,RF
RF13,RF
RF20,RF
RF21,RF
RF22,RF
RO02,RO
RO03,RO
RO04,RO
RO05,RO
RO06,RO
RO07,RO
RO08,RO
RO09,RO
RO10,RO
RO11,RO
RO12,RO
RO13,RO
RO14,RO
RO15,RO
SL11,SL
SL29,SL
SL30,SL
SL31,SL
SL32,SL
SL33,SL
SL34,SL
SL35,SL
SL36,SL
SL37,SL
SL38,SL
SL39,SL
SL40,SL
SL41,SL
SM03,SM
SM04,SM
SM05,SM
SM07,SM
SM08,SM
SM09,SM
SM12,SM
SM13,SM
SM15,SM
SM19,SM
SM21,SM
SM23,SM
SM26,SM
SM27,SM
SMA01,SMA
SMA04,SMA
SMA07,SMA
SMA08,SMA
SMA09,SMA
SMA12,SMA
SMA14,SMA
SMA16,SMA
SMA18,SMA
SMA20,SMA
SMA22,SMA
SMA23,SMA
SMA24,SMA
SMA25,SMA
SO02,SO
SO06,SO
SO07,SO
SO08,SO
SO10,SO
SO11,SO
SO13,SO
SO15,SO
SO17,SO
SO18,SO
SO21,SO
SO22,SO
SO23,SO
SO25,SO
SST05,SST
SST06,SST
SST07,SST
SST08,SST
SST09,SST
SST10,SST
SST11,SST
SST12,SST
SST15,SST
SST16,SST
SST18,SST
SST20,SST
SST21,SST
SST23,SST
ST03,ST
ST06,ST
ST08,ST
ST11,ST
ST24,ST
ST27,ST
ST28,ST
ST29,ST
ST30,ST
ST32,ST
ST34,ST
ST35,ST
ST36,ST
SX02,SX
SX03,SX
SX04,SX
SX05,SX
SX06,SX
SX07,SX
SX09,SX
SX10,SX
SX11,SX
SX12,SX
SX13,SX
SX14,SX
SX16,SX
SX17,SX
SZ05,SZ
SZ18,SZ
SZ21,SZ
TR02,TR
TR04,TR
TR05,TR
TR07,TR
TR09,TR
TR10,TR
TR14,TR
TR16,TR
TR18,TR
TR20,TR
TR22,TR
TR23,TR
UR01,UR
UR02,UR
UR03,UR
UR04,UR
UR05,UR
UR06,UR
UR07,UR
UR09,UR
UR10,UR
UR11,UR
UR13,UR
UR15,UR
UR16,UR
UR17,UR
