baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Genes
967.468805,0.629721512,0.191165051,3.294124674,0.000987287,0.048591069,SLC39A8
63.70890668,-3.366868698,0.466756371,-7.21333206,5.46E-13,5.81E-10,FBXO41
764.9870895,-1.553336939,0.427191839,-3.636157807,0.000276735,0.020944523,SPR
877.7170285,-0.92947915,0.209774319,-4.430852899,9.39E-06,0.001700384,LOC114604476
66.39212547,-0.927408208,0.274433197,-3.379358691,0.000726551,0.040121219,DOK1
94.56194379,-0.82258152,0.248530301,-3.309783628,0.000933681,0.046626559,LOC114604519
648.2006444,-0.921094666,0.248581359,-3.70540523,0.000211053,0.017699562,TMEM243
863.9398608,-2.015307569,0.378276691,-5.327601775,9.95E-08,3.46E-05,WIF1
104.8817453,-2.306567941,0.373353627,-6.177971159,6.49E-10,4.35E-07,C1QTNF6
510.133286,-0.429750623,0.120367706,-3.570314987,0.000356552,0.025511461,NT5DC3
1568.828424,0.402356876,0.092181973,4.364810861,1.27E-05,0.002144901,MKRN1
896.0344462,-1.24430118,0.344802593,-3.608734983,0.000307694,0.022781377,NINJ2
407.5220145,-1.02024809,0.239429222,-4.261167797,2.03E-05,0.003011341,RERG
1185.017121,-2.311399857,0.35606564,-6.491499309,8.50E-11,7.62E-08,LOC114605516
434.6491094,-1.718016002,0.231382634,-7.424999763,1.13E-13,1.28E-10,LOC114605320
179.0517713,1.281684979,0.364967146,3.511781796,0.000445113,0.029153209,LOC114605704
281.6724669,0.598619291,0.171020244,3.500283226,0.000464764,0.029421812,CCDC68
136.0149545,0.721324667,0.196792831,3.665401142,0.000246951,0.019290513,LOC114606184
508.0717236,-0.596028645,0.180793383,-3.296739274,0.000978143,0.04828055,LOC114606335
6796.999399,0.685784621,0.150216216,4.56531684,4.99E-06,0.001011078,ELOVL7
2367.117972,0.714615874,0.18134738,3.940591113,8.13E-05,0.008987892,SERINC5
586.466542,-0.730435417,0.218652197,-3.340626928,0.000835895,0.043265804,ENC1
4033.757262,0.816586905,0.187787622,4.3484597,1.37E-05,0.002202476,ARRDC3
541.9260745,1.107761257,0.206143212,5.373745982,7.71E-08,2.77E-05,SLCO4C1
2223.720535,0.548933262,0.155472713,3.530737007,0.000414404,0.027565931,SPTLC1
210.9910544,-1.035931478,0.295531158,-3.505320677,0.000456058,0.02919626,LOC114607271
